Embedding File,MSE,Accuracy,Hit_Percent,Correlation,Correlation Sig,Spearman,Spearman Sig,wind,size,mod,dig,tash,preprocessing
lemmasdigFalsetashFalsemod1size200wind4.txt,0.1921,0.392,1.0,0.4091,1.64540683158e-15,0.422032283854,1.66193394337e-16,4,200,1,False,False,lemmas
lemmasdigTruetashFalsemod0size200wind4.txt,0.1945,0.397,1.0,0.4055,3.04687839873e-15,0.419189518247,2.76938045837e-16,4,200,0,True,False,lemmas
lemmasdigFalsetashTruemod0size100wind7.txt,0.1635,0.3523,1.0,0.4184,3.16422905304e-16,0.417016458278,4.07846599462e-16,7,100,0,False,True,lemmas
lemmasdigFalsetashFalsemod0size100wind4.txt,0.1507,0.3387,1.0,0.4145,6.31604165551e-16,0.416609265032,4.38392674699e-16,4,100,0,False,False,lemmas
controldigFalsetashTruemod0size100wind7.txt,0.1746,0.3693,0.0,0.4132,8.71983588327e-16,0.415393991193,5.98361185527e-16,7,100,0,False,True,control
lemmasdigTruetashFalsemod0size100wind7.txt,0.1742,0.3683,1.0,0.4012,6.2418831345e-15,0.414825530903,6.00848487955e-16,7,100,0,True,False,lemmas
lemmasdigFalsetashTruemod1size200wind7.txt,0.1856,0.3831,1.0,0.4115,1.08151215159e-15,0.413178967074,8.02449090649e-16,7,200,1,False,True,lemmas
controldigFalsetashTruemod0size200wind4.txt,0.212,0.4183,0.0,0.4006,7.63577580408e-15,0.41268052247,9.62651304504e-16,4,200,0,False,True,control
lemmasdigTruetashTruemod1size200wind7.txt,0.18,0.3765,1.0,0.396,1.5069788037e-14,0.410615652244,1.25504272088e-15,7,200,1,True,True,lemmas
lemmasdigTruetashTruemod1size200wind4.txt,0.1851,0.383,1.0,0.411,1.17515804001e-15,0.408479462452,1.81662602397e-15,4,200,1,True,True,lemmas
controldigTruetashFalsemod0size200wind7.txt,0.2203,0.4267,0.0,0.4005,9.18493402692e-15,0.406916042312,3.13212252249e-15,7,200,0,True,False,control
lemmasdigTruetashTruemod0size100wind4.txt,0.1398,0.3225,1.0,0.3995,8.32759161719e-15,0.40552685124,3.01557570905e-15,4,100,0,True,True,lemmas
lemmasdigFalsetashFalsemod1size200wind7.txt,0.1885,0.3878,1.0,0.4058,2.86341547208e-15,0.404224726829,3.76484789191e-15,7,200,1,False,False,lemmas
lemmasdigTruetashFalsemod1size200wind4.txt,0.1884,0.3863,1.0,0.4102,1.35238701177e-15,0.401776309482,5.6994112519e-15,4,200,1,True,False,lemmas
lemmasdigTruetashFalsemod0size100wind4.txt,0.1503,0.3375,1.0,0.4009,6.57806213184e-15,0.400972450564,6.52576838354e-15,4,100,0,True,False,lemmas
lemmasdigTruetashFalsemod1size100wind4.txt,0.1468,0.33,1.0,0.399,9.08283395509e-15,0.398720121064,9.51792925539e-15,4,100,1,True,False,lemmas
lemmasdigTruetashTruemod0size200wind7.txt,0.2144,0.4185,1.0,0.3946,1.88010327282e-14,0.390613778495,3.61627563582e-14,7,200,0,True,True,lemmas
lemmasdigTruetashTruemod1size100wind7.txt,0.1417,0.3228,1.0,0.3951,1.7456396821e-14,0.380276788653,1.88249382044e-13,7,100,1,True,True,lemmas
lemmasdigTruetashFalsemod0size200wind7.txt,0.2199,0.424,1.0,0.3712,7.67108068197e-13,0.378295442273,2.56566085521e-13,7,200,0,True,False,lemmas
lemmasdigFalsetashTruemod0size200wind4.txt,0.1929,0.3922,1.0,0.3775,2.90212816652e-13,0.376572544652,3.35262486337e-13,4,200,0,False,True,lemmas
lemmasdigTruetashFalsemod1size100wind7.txt,0.1536,0.3396,1.0,0.3787,2.40842993157e-13,0.367101971498,1.41867943614e-12,7,100,1,True,False,lemmas
lemmasdigTruetashFalsemod1size200wind7.txt,0.191,0.3889,1.0,0.38,1.96604489671e-13,0.366295007242,1.6007544633e-12,7,200,1,True,False,lemmas
lemmasdigFalsetashFalsemod1size100wind7.txt,0.1493,0.3341,1.0,0.3745,4.63174436998e-13,0.356846594905,6.41943956718e-12,7,100,1,False,False,lemmas
lemmasdigFalsetashTruemod1size100wind7.txt,0.142,0.3211,1.0,0.3783,2.57190676762e-13,0.353345327044,1.06169536455e-11,7,100,1,False,True,lemmas
